city;country;price;size;rooms;latitude;longitude;address
berlin;DE;369000;63.93;2;52.4572569;13.3222865;"Steglitz (Steglitz), Berlin"
berlin;DE;399000;81.16;3;52.4572569;13.3222865;"Steglitz (Steglitz), Berlin"
berlin;DE;929000;86.7;3;52.5324273;13.4291283;"Greifswalder Straße 30, Prenzlauer Berg (Prenzlauer Berg), Berlin"
berlin;DE;739000;74.01;2;52.5324273;13.4291283;"Greifswalder Straße 30, Prenzlauer Berg (Prenzlauer Berg), Berlin"
berlin;DE;841000;133.25;4;52.4518797;13.574661913474706;"Am Generalshof 23, Köpenick (Köpenick), Berlin"
berlin;DE;407000;68.15;2;52.4518797;13.574661913474706;"Am Generalshof 23, Köpenick (Köpenick), Berlin"
berlin;DE;836497.45;110.94;4;52.4940198;13.3898086;"Baruther Straße 5, Kreuzberg (Kreuzberg), Berlin"
berlin;DE;322000;41.17;1;52.4940198;13.3898086;"Baruther Straße 5, Kreuzberg (Kreuzberg), Berlin"
berlin;DE;1025000;180.91;4;52.51899665;13.315780201499514;"Galvanistr. 14, Charlottenburg (Charlottenburg), Berlin"
berlin;DE;2595000;384.11;5;52.5436081;13.4127127;"Schönhauser Allee 55, Prenzlauer Berg (Prenzlauer Berg), Berlin"
berlin;DE;1350000;159.8;3;52.5283441;13.4234544;"Prenzlauer Berg (Prenzlauer Berg), Berlin"
berlin;DE;699500;124.4;4;52.5547748;13.4265356;"Talstr. 5A, Pankow (Pankow), Berlin"
berlin;DE;359500;61.52;2;52.5547748;13.4265356;"Talstr. 5A, Pankow (Pankow), Berlin"
berlin;DE;491000;63.05;2;52.5029358;13.5205456;"Friedrichsfelde (Lichtenberg), Berlin"
berlin;DE;372000;46.33;2;52.5029358;13.5205456;"Friedrichsfelde (Lichtenberg), Berlin"
berlin;DE;256000;39.29;1;52.5029358;13.5205456;"Friedrichsfelde (Lichtenberg), Berlin"
berlin;DE;390700;84;3;;;"Rue Montesquieu 15, Waidmannslust (Reinickendorf), Berlin"
berlin;DE;512600;107;4;;;"Rue Montesquieu 15, Waidmannslust (Reinickendorf), Berlin"
berlin;DE;329000;76;3;52.5176896;13.4023757;"Mitte (Mitte), Berlin"
berlin;DE;335000;50;2;52.5034002;13.3386373;"Charlottenburg (Charlottenburg), Berlin"
berlin;DE;299000;59;3;52.4632921;13.3864477;"Tempelhof (Tempelhof), Berlin"
berlin;DE;799000;130;4;52.4860843;13.3859508;"Kreuzberg (Kreuzberg), Berlin"
berlin;DE;556000;64.64;2;52.4559562;13.3201861;"Schloßstraße 80, Steglitz (Steglitz), Berlin"
berlin;DE;1450000;140.75;3;52.4559562;13.3201861;"Schloßstraße 80, Steglitz (Steglitz), Berlin"
berlin;DE;1785125;140.65;2;52.50524705;13.413779574165483;"Dresdener Straße 109, Mitte (Mitte), Berlin"
berlin;DE;1807800;144.6;2;52.50524705;13.413779574165483;"Dresdener Straße 109, Mitte (Mitte), Berlin"
berlin;DE;840000;121;4;52.5090622;13.2966489;"Suarezstraße 56, Charlottenburg (Charlottenburg), Berlin"
berlin;DE;920000;107.5;3;52.5090622;13.2966489;"Suarezstraße 56, Charlottenburg (Charlottenburg), Berlin"
berlin;DE;176500;29.14;1;52.4337333;13.5373386;"Rudower Chaussee 34, Adlershof (Treptow), Berlin"
berlin;DE;139950;24.07;1;52.4337333;13.5373386;"Rudower Chaussee 34, Adlershof (Treptow), Berlin"
berlin;DE;419000;84.5;3;52.4504809;13.571548;"Spreestraße 6, Köpenick (Köpenick), Berlin"
berlin;DE;454000;81.1;3;52.4504809;13.571548;"Spreestraße 6, Köpenick (Köpenick), Berlin"
berlin;DE;440000;78;3;52.4504809;13.571548;"Spreestraße 6, Köpenick (Köpenick), Berlin"
berlin;DE;450000;84.5;3;52.4504809;13.571548;"Spreestraße 6, Köpenick (Köpenick), Berlin"
berlin;DE;465000;80.9;3;52.4504809;13.571548;"Spreestraße 6, Köpenick (Köpenick), Berlin"
berlin;DE;495000;75.1;2;52.4504809;13.571548;"Spreestraße 6, Köpenick (Köpenick), Berlin"
berlin;DE;339000;77;3;52.482157;13.3551901;"Schöneberg (Schöneberg), Berlin"
berlin;DE;376000;52;2;52.4860843;13.3859508;"Kreuzberg (Kreuzberg), Berlin"
berlin;DE;280000;68.69;2;52.5034002;13.3386373;"Charlottenburg (Charlottenburg), Berlin"
berlin;DE;299500;43.51;1.5;52.5544515;13.425198;"Talstr. 4A, Pankow (Pankow), Berlin"
berlin;DE;459500;53.5;2;52.5173367;13.4158783;"Voltairestraße 11, Mitte (Mitte), Berlin"
berlin;DE;872700;100.53;3;52.4424073;13.265513;"Clayallee 228, Dahlem (Zehlendorf), Berlin"
berlin;DE;311700;56.06;2;;;"Glienicker Straße 31, Wannsee (Zehlendorf), Berlin"
berlin;DE;309500;60.72;2;52.5532828;13.3704867;"Exerzierstraße 34, Wedding (Wedding), Berlin"
berlin;DE;229900;49;2;52.5454364;13.3705273;"Pankstraße 24, Wedding (Wedding), Berlin"
berlin;DE;356200;62.97;2;52.5635268;13.4205318;"Binzstraße 20, Pankow (Pankow), Berlin"
