city;country;price;size;rooms;latitude;longitude;address
munich;DE;800000;108.6;4;48.1542217;11.5315172;"Neuhausen, München"
munich;DE;800000;109.3;3;48.1542217;11.5315172;"Neuhausen, München"
munich;DE;1000000;153;5;48.1396562;11.5879211;"Lehel, München"
munich;DE;469000;65.26;2;48.1761601;11.4181889;"Osterangerstraße 13, Langwied, München"
munich;DE;495000;62.8;2;48.1761601;11.4181889;"Osterangerstraße 13, Langwied, München"
munich;DE;679000;84.02;3;48.1397081;11.4204849;"Fritz-Bauer-Straße 28, Aubing, München"
munich;DE;648000;79.68;3;48.1397081;11.4204849;"Fritz-Bauer-Straße 28, Aubing, München"
munich;DE;1970000;96.51;3;48.121754;11.5822169;"Hochstraße 75, Haidhausen, München"
munich;DE;1290000;123.35;3;48.121754;11.5822169;"Hochstraße 75, Haidhausen, München"
munich;DE;1064800;62.7;2;48.1234294;11.5832978;"Am Neudeck 10, Au, München"
munich;DE;934900;63.48;2;48.1234294;11.5832978;"Am Neudeck 10, Au, München"
munich;DE;1598000;136.43;4;48.1542217;11.5315172;"Neuhausen, München"
munich;DE;1690000;127.22;4;48.1542217;11.5315172;"Neuhausen, München"
munich;DE;5685000;304;5;48.1542217;11.5315172;"Neuhausen, München"
munich;DE;999900;102.22;4;48.1738137;11.5287767;"Hanauer Straße 6, Moosach, München"
munich;DE;599900;58.7;2;48.1738137;11.5287767;"Hanauer Straße 6, Moosach, München"
munich;DE;1950000;129;4;48.1468712;11.6057718;"Laplace Str. 9, Bogenhausen, München"
munich;DE;523500;65.91;2;;;"Peter-Anders-Straße / Berduxstraße -, Obermenzing, München"
munich;DE;643200;81.58;3;;;"Peter-Anders-Straße / Berduxstraße -, Obermenzing, München"
munich;DE;861000;86.1;2;48.1477854;11.4607008;"Pasing, München"
munich;DE;957900;127.7;4;48.1756662;11.395306;"Spatzenwinkel 24, Lochhausen, München"
munich;DE;449900;25.68;1;48.1350665;11.5609572;"Schillerstraße 41, Ludwigsvorstadt-Isarvorstadt, München"
munich;DE;429900;36.44;1;48.1350665;11.5609572;"Schillerstraße 41, Ludwigsvorstadt-Isarvorstadt, München"
munich;DE;725000;83.4;3;48.1141401;11.6142551;"Ramersdorf, München"
munich;DE;728000;82.9;3.5;48.1459173;11.4233538;"Strahlenfelser Str. 21, Aubing, München"
munich;DE;1790000;247;7;48.0765906;11.5180779;"Solln, München"
munich;DE;760000;89;3;48.1542217;11.5315172;"Neuhausen, München"
munich;DE;1650000;111;4.5;48.1547823;11.6334838;"Bogenhausen, München"
munich;DE;1170000;121.38;4.5;48.1260355;11.6633383;"Trudering, München"
munich;DE;1080000;84.37;3;48.081543350000004;11.551578650000002;"Geiselgasteigstraße 100, Harlaching, München"
munich;DE;1190000;95.48;3;48.081543350000004;11.551578650000002;"Geiselgasteigstraße 100, Harlaching, München"
munich;DE;448000;36.74;1.5;48.1112909;11.5652453;"Hellabrunner Straße 2, Untergiesing, München"
munich;DE;2134000;170.98;5;48.1112909;11.5652453;"Hellabrunner Straße 2, Untergiesing, München"
munich;DE;409900;46.7;2;48.0890875;11.6423498;"Gustav-Heinemann-Ring 133, Perlach, München"
munich;DE;899900;128.7;4;48.0890875;11.6423498;"Gustav-Heinemann-Ring 133, Perlach, München"
munich;DE;469900;58.7;2;48.195473;11.4644417;"Am Münchfeld 50, Allach, München"
munich;DE;404400;48.15;2;48.195473;11.4644417;"Am Münchfeld 50, Allach, München"
munich;DE;730000;93;3;48.1700887;11.5884858;"Schwabing, München"
munich;DE;686100;62.22;2;48.1549762;11.467427;"Seinsheimstraße 17, Obermenzing, München"
munich;DE;861100;101.32;3;48.2164468;11.538688377593152;"Georg-Winkler-Straße 18, Feldmoching, München"
munich;DE;539500;59.35;2;48.215376649999996;11.538582601229708;"Georg-Winkler-Straße 8, Feldmoching, München"
munich;DE;561500;57.6;2;48.098911400000006;11.50006415330789;"Possenhofener Straße 28, Forstenried, München"
munich;DE;1120000;122.27;5;48.0954174;11.6277428;"Sebastian-Bauer-Straße 40, Perlach, München"
munich;DE;975200;106;4;48.118064;11.4818417;"Hadern, München"
munich;DE;625600;68;3;48.118064;11.4818417;"Hadern, München"
munich;DE;4780000;259;5;48.1547823;11.6334838;"Bogenhausen, München"
munich;DE;1115000;97.83;4;48.1543959;11.5119124;"Arnulfstraße 150-152, Neuhausen, München"
munich;DE;835000;78.24;3;48.1543959;11.5119124;"Arnulfstraße 150-152, Neuhausen, München"
munich;DE;749900;84.63;4;48.1402505;11.4214879;"Fritz-Bauer-Straße 13, Aubing, München"
munich;DE;759900;84.63;4;48.1402505;11.4214879;"Fritz-Bauer-Straße 13, Aubing, München"
